,CIKUPA,CIKUPA,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NO.,ULTG,LOKASI,BAY,VALIDASI,JENIS BAY,TEG ( kV ),URAIAN PEKERJAAN,Penanggung Jawab,Pelaksana,RENCANA,,,,,STATUS,PENYEBAB JADWAL ULANG,,"KETERANGAN (justifikasi ABK, Durasi lama, Pekerjaan Dimulai tidak on time)",REALISASI,,,,,,,LAPTEK,,"JUMLAH PERSONIL PELAKSANA HAR
(HAR GI DAN HAR PROM)
TIDAK TERMASUK PENGAWAS",JMLH HELPER,ROH/ROB/ROT,PEMELIHARAAN BAY  IBT,,,,,,,,,,,,,,,,,,,,,,,,,,,PEMELIHARAAN BAY TRAFO,,,,,,,,,,,,,,,,,,,,,,,,,,PEMELIHARAAN BAY PENGHANTAR 500 KV,,,,,,PEMELIHARAAN BAY PENGHANTAR 150kV (KONFIGURASI DOUBLE BUSBAR),,,,,,,,,PEMELIHARAAN BAY PENGHANTAR 150kV (KONFIGURASI DIAMETER),,,,,,,,PEMELIHARAAN BAY KAPASITOR,,,,,,,PEMELIHARAAN PMT DIAMETER 500,,,,PEMELIHARAAN PMT DIAMETER 150,,,,PEMELIHARAAN BAY  REAKTOR 500,,,PEMELIHARAAN BAY  REAKTOR 150,,,,,,PEMELIHARAAN BAY KOPEL,,,,,,PEMELIHARAAN BAY BUSBAR (KONFIGURASI DOUBLE BUSBAR),,,PEMELIHARAAN BAY BUSBAR (KONFIGURASI DIAMETER),,,,PEMELIHARAAN TRAFO (KONDISIONAL),,OPTIMASI (P1 / P2),,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PMT 150 kV,CT 500,CT 150,PMS Rel 1 150,PMS Rel 2 150,PMS Line 500,PMS Line 150,PT/CVT,LA,Trafo Tenaga (tahanan isolasi dan pentanahan),Kontinuitas dan Dynamic Resistance,CT Netral 500 kV,CT Netral 150 kV,Tan Delta Bushing,Tan Delta Belitan Trafo,Motor Kipas Trafo,,,,Motor Sirkulasi,Motor OLTC,Teg Tembus Minyak,Rele Mekanik,CT REF 500,CT REF 150,PROTEKSI,% Penyelesaian Pekerjaan Per Lokasi GI,PMT 150kV ,PMT 20 kV,CT 150,CT 20,PMS Rel 1,PMS Rel 2,PT/CVT,LA,Trafo Tenaga (tahanan isolasi dan pentanahan),Kontinuitas dan Dynamic Resistance,CT Netral 150 kV,Tan Delta Bushing,Tan Delta Belitan Trafo,Motor Kipas Trafo,,,,Motor Sirkulasi,Motor OLTC,Teg Tembus Minyak,Rele Mekanik,NGR,CT REF 20,CT  SBEF,PROTEKSI,% Penyelesaian Pekerjaan Per Lokasi GI,PMS Line,CT 500,PT/CVT,LA,PROTEKSI,% Penyelesaian Pekerjaan Per Lokasi GI,PMT 150 kV,CT 150,PMS Rel 1,PMS Rel 2,PT/CVT,LA,PROTEKSI,PMS Line,% Penyelesaian Pekerjaan Per Lokasi GI,PT/CVT,LA,CT 150,PROTEKSI,"PMS PENGAPIT 
A / B (TIDAK BERTEGANGAN)","PMS PENGAPIT 
AB ( TIDAK BERTEGANGAN)",PMS Line,% Penyelesaian Pekerjaan Per Lokasi GI,PMT 150 kV,CT 150,LA,PT/CVT 150,KAPASITOR BANK,PROTEKSI,% Penyelesaian Pekerjaan Per Lokasi GI,PMT 500 kV,CT 500,Proteksi,% Penyelesaian Pekerjaan Per Lokasi GI,PMT 150 kV,CT 150,Proteksi,% Penyelesaian Pekerjaan Per Lokasi GI,REAKTOR ,PROTEKSI,% Penyelesaian Pekerjaan Per Lokasi GI,REAKTOR ,PMT 150,CT 150,LA,PROTEKSI,% Penyelesaian Pekerjaan Per Lokasi GI,PMS 150 kV,PMT 150 kV,CT 150,PT/CVT 150,PROTEKSI,% Penyelesaian Pekerjaan Per Lokasi GI,PT/CVT,PROTEKSI,% Penyelesaian Pekerjaan Per Lokasi GI,PT/CVT,PROTEKSI,PMS YANG TERHUBUNG KE BUSBAR (TIDAK BERTEGANGAN),% Penyelesaian Pekerjaan Per Lokasi GI,Penggantian MInyak OLTC Trafo,Modifikasi atau Penggantian Microswitch,,,
,,,,,,,,,,BULAN,TANGGAL,DARI JAM,SAMPAI JAM,"LAMA PEKERJAAN
 (MENIT)",,CONTROLLABLE/UNCONTROLLABLE,ALASAN,,MULAI PEKERJAAN,,,SELESAI PEKERJAAN,,,"LAMA PEKERJAAN
 (MENIT)",,LAPTEK HARPRO,,,,,,,,,,,,,,,,,,,Kipas 1,Kipas 2,Kipas 3,Kipas 4,,,,,,,,,,,,,,,,,,,,,,Kipas 1,Kipas 2,Kipas 3,Kipas 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normalisasi Penulisan Tanggal,
,,,,,,,,,,,,,,,,,,,BULAN,TANGGAL,JAM,BULAN,TANGGAL,JAM,,,,,,,8,3,3,5,5,5,5,0,3,2,2,3,3,3,3,2,2,2,2,2,2,2,2,3,3,14,89,8,8,3,1,5,5,0,3,2,2,3,3,3,2,2,2,2,0,2,2,2,2,1,1,9,73,5,3,3,3,8,22,8,3,5,5,3,3,5,5,37,3,3,3,7,5,5,5,31,8,3,3,3,3,7,27,8,3,2,13,8,3,2,13,4,6,10,4,8,3,3,6,24,5,8,3,3,4,23,3,2,5,3,2,5,10,1,2,,,VERIFIKASI KINERJA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ULTG CIKUPA,GI 150KV SEPATAN,TRF#3 150/20kV,OKE,TRAFO 150/20kV,150/20 kV,"HAR OFF BAY TRAFO #3, GI 150KV SEPATAN",MUPT,ULTG,JAN, 13,8:00:00,16:00:00,,TERLAKSANA,,,"ROT 19 JUL, BERSAMAAN PEKERJAAN KONEKSI STATUS CB DAN TRIPPING ADS LONTAR BAY TRAFO#3, GI 150KV SEPATAN",JAN, 13,8:20:00,JAN, 13,16:37:00,497,ADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ULTG SERANG,GISTET 500KV JAWA 7,7A2 DIAMETER#2 500kV,OKE,DIAMETER 500kV,500 kV,"HAR OFF 7A2, GISTET 500KV JAWA 7",MUPT,ULTG,JAN, 13,8:00:00,16:00:00,,TERLAKSANA,,,ROT 13 JAN,JAN, 13,9:22:00,JAN, 13,15:31:00,369,ADA,,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ULTG CIKUPA,GI 150KV CIKUPA,TRF#3 150/20kV,OKE,TRAFO 150/20kV,150/20 kV,"HAR OFF BAY TRAFO #3, GI 150KV CIKUPA",MUPT,ULTG,JAN, 14,8:00:00,16:00:00,,TERLAKSANA,,,"ROT 27 SEP, BERSAMAAN PEKERJAAN KONEKSI STATUS CB DAN TRIPPING ADS LONTAR BAY TRAFO#3, GI 150KV CIKUPA",JAN, 14,10:07:00,JAN, 14,17:35:00,448,ADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
